,position,specialization
109,business operation specialist,5
110,kam - assistant,5
111,key account sales analyst,3
112,marketing controlling intern (finance department),4
113,marketing controlling intern (finance department),6
114,marketing controlling intern (finance department),4
115,marketing controlling intern (finance department),6
116,senior creator,13
117,selection analyst,3
118,ppt slide maker specialist / дизайнер презентаций,14
119,graduate recruitment leader,12
120,junior recruiter / sourcer,12
121,специалист по документообороту,4
122,content manager / copywriter,4
123,creator,4
124,бизнес аналитик,4
125,senior employer brand strategist,5
126,researcher,3
127,project team leader,4
128,investment analyst,3
129,аналитик/ ст. аналитик/ менеджер по стратегии,3
130,аналитик/ ст. аналитик/ менеджер по стратегии,5
131,менеджер по продуктам корпоративного бизнеса,7
132,менеджер по продуктам корпоративного бизнеса,7
133,менеджер по развитию онлайн,3
134,intern/analyst strategy,3
135,интерн/аналитик в практику технологического консалтинга (банки и рынки капиталов),3
136,"executive/associate, integration & separation, deal advisory",11
137,специалист по логистике,5
138,it-специалист,0
139,стажер product-менеджер (ozon global),5
140,стажер-аналитик (группа контроля качества доставки),3
141,позиция консультанта в москве,3
142,позиция консультанта в москве,11
143,консультант,11
144,стажер в digital-маркетинг,6
145,стажер-менеджер по привлечению партнеров,5
146,стажер-менеджер по привлечению партнеров,7
147,стажер в отдел склада готовой продукции,5
148,представитель по работе с ключевыми клиентами / key account executive (laundry&home care),5
149,представитель по работе с ключевыми клиентами / key account executive (laundry&home care),7
150,представитель по работе с ключевыми клиентами / key account executive (laundry&home care),5
151,представитель по работе с ключевыми клиентами / key account executive (laundry&home care),7
152,стажер/консультант в команду сопровождения сделок,5
153,стажер/консультант в команду казначейства,4
154,стажер (finance),4
155,стажер бизнес-аналитик (развитие международного бизнеса),8
156,менеджер по календарно-сетевому планированию в группе «самолет»,5
157,стажер бизнес-аналитик (кабинет продавца),8
158,стажер в корпоративное развитие и финансы,4
159,hr admin proximity specialist/территориальный специалист по кадровым вопросам,12
160,hr admin proximity specialist/территориальный специалист по кадровым вопросам,12
161,ассистент специалиста по кадровому делопроизводству,12
162,стажер в группу подбора персонала,12
163,младший консультант (sap grc) в департамент управления рисками,0
164,консультант в группу по оказанию услуг работодателям и физическим лицам,5
165,smm-специалист,6
166,инженер проектов,2
167,стажер в отдел склада готовой продукции,5
168,intern forensic agribusiness sector,5
169,"executive/associate, deal strategy group, deal advisory",4
170,младший аналитик отдела по работе с ключевыми клиентами,3
171,стажер в группу по консультированию в сфере it (it-аудит),11
172,стажер в группу по консультированию в сфере it (it-аудит),0
173,аналитик в практику технологического консалтинга (банки),3
174,аналитик в практику it-инфраструктуры и облачных решений,3
175,analyst natural resources consulting,0
176,intern/analyst sap consulting,0
177,"intern/analyst (management & technology consulting/ fmcg, retail, pharma)",3
178,консультант начального уровня в группу по сопровождению сделок в области корпоративных финансов,4
179,консультант начального уровня в группу по консультированию в области киберрисков,4
180,стажер в отдел анализа систем внутреннего контроля в департамент управления рисками,4
181,бизнес-аналитик в группу по оказанию услуг компаниям ресурсного сектора отдела операционной деятельности,5
182,младший координатор по работе с субподрядчиками административного центра обслуживания,5
183,"младший специалист по работе с кадровыми системами, анализу и отчетности филиала",12
184,инженер асутп,2
185,инженер-технолог,2
186,специалист по развитию бизнес-системы,11
187,менеджер по цифровым проектам,5
188,investment analyst vershina development (renewable energy field),3
189,специалист по клиентскому сервису,5
190,специалист по производственному планированию,2
191,intern real estate advisory (valuation and сonsulting),2
192,junior actuary,4
193,e-commerce trainee,2
194,junior packaging specialist,2
195,process & technologies trainee / стажер в отдел процессов и технологий,2
196,hr trainee learning & development / hr стажер (обучение и развитие),12
197,supply chain trainee / стажер отдела логистики,13
198,supply chain trainee / стажер отдела логистики,2
199,младший специалист по подбору персонала (практикант),12
200,практикант,5
201,практикант,15
202,практикант-разработчик go,10
203,стажер в кам-отдел (beauty care),0
204,старший специалист по анализу данных,1
205,специалист по развитию интеллектуальных роботов,0
206,менеджер по целевым коммуникациям,5
207,менеджер проектов bigdata,0
208,младший специалист (разграничение обязанностей — sod) в департамент управления рисками,0
209,консультант начального уровня в международную группу по оказанию услуг финансовым институтам,4
210,digital planning intern,6
211,системный аналитик,3
212,юрист-практикант,5
213,стажер в стратегический отдел/strategic planning intern,6
214,analytics & insights intern,6
215,programmatic intern,6
216,paid social media intern,6
217,performance marketing intern,6
218,аналитик по электронному кадровому документообороту,3
219,исследование цифровых технологий,0
220,стажер-программист abap,0
221,разработчик,10
222,консультант по тестированию и документированию по в области кадрового учета (sap),10
223,администратор телекоммуникационной сети отдела сто,5
224,аналитик,3
225,sql + wms specialist (consultant integrator/специалист по внедрению бизнес систем),0
226,разработчик/ middle back-end developer / architect (node.js / c#),10
227,разработчик esb / etl / apps script / rpa,10
228,junior разработчик php/ php developer,10
229,стажер oss,0
230,стажер направления разработка отчетности,0
231,стажер-разработчик android,10
232,стажер в it,0
233,аналитик по продажам (beauty care),3
234,координатор отдела бизнес- операций (beauty care),12
235,innovation consulting intern/analyst,3
236,net revenue management analyst (beauty care),4
237,net revenue management analyst (beauty care),3
238,старший аналитик по инновациям,3
239,стажер отдела категорийного менеджмента (beauty care),5
240,стажер в отдел по работе с ключевыми клиентами (beauty care),5
241,представитель по работе с ключевыми клиентами / key account executive (laundry&home care),5
242,sap consulting intern/analyst (assessment centre),3
243,специалист по продажам корпоративным клиентам,7
244,старший менеджер по развитию бизнеса,7
245,аналитик/старший аналитик,3
246,специалист по транспорту,5
247,стажер it/is,0
248,менеджер по развитию новых партнерств,7
249,аналитик (adhesive technologies),3
250,представитель по работе с ключевыми клиентами / кае (laundry & home care),5
251,представитель по работе с ключевыми клиентами / кае (laundry & home care),7
252,специалист по продажам и развитию территории,7
253,стажер в группу оказания услуг по реструктуризации ey-parthenon,5
254,cтажер/специалист в группа по управлению it-рисками,0
255,стажер в группу подбора персонала,12
256,стажер в группу по предоставлению юридических услуг в департамент налогов и права,2
257,консультант начального уровня в группу по оказанию услуг в области коммерческой разведки (форензик),5
258,junior quantitative analyst (в казначейство),3
259,"младший специалист (аналитик) в команду финансового анализа, проектного моделирования и розничной аналитики",3
260,стажер-администратор (геймификация),12
261,стажер по проектированию и внедрению систем обеспечения безопасности,0
262,стажер/помощник специалиста службы качества,0
263,"intern/junior consultant, integration & separation group, deal advisory",4
264,дата-аналитик в команду корпоративно-инвестиционного бизнеса,3
265,младший экономист/стажер,4
266,аналитик в практику it-инфраструктуры и облачных решений,0
267,стажер-аналитик в kion,3
268,старший менеджер продуктов,5
269,менеджер по продвижению новых услуг и партнерств,6
270,аналитик новых услуг и партнерств,3
271,менеджер по развитию рекламных продуктов,0
272,менеджер по развитию рекламных продуктов,6
273,hr-аналитик,12
274,менеджер по развитию автоматизированных коммуникаций,6
275,стажер в корпоративный университет в департамент по работе с персоналом,12
276,стажер в департамент продаж,7
277,стажер-разработчик компьютерного зрения,0
278,стажер в команду проектного офиса,5
279,стажер исследовательского центра в департамент внутренней поддержки,5
280,специалист начального уровня в департамент аудиторских услуг,11
281,специалист it-поддержки направления логистика,0
282,руководитель отдела локальной информационно-технической поддержки,5
283,руководитель отдела локальной информационно-технической поддержки,0
284,специалист поддержки ит (вторая линия),0
285,главный специалист службы локальной ит-поддержки,7
286,специалист по поддержке пользователей sap (финансы),4
287,demand planning specialist / специалист по планированию спроса (beauty care),7
288,координатор отдела,5
289,младший менеджер по работе с ключевыми клиентами / junior kam (beauty care),5
290,младший менеджер по работе с ключевыми клиентами / junior kam (beauty care),7
291,стажер-разработчик (node.js / go),0
292,практикант (devops),0
293,стажер в группу операционных рисков и устойчивого развития,11
294,intern transaction services (financial services sector),4
295,стажер в департамент аудита корпоративного сектора,11
296,младший технический архитектор,0
297,junior тестировщик,0
298,intern/analyst accenture strategy (assessment centre),3
299,"интерн/аналитик (retail, fmcg, pharma, automotive)",3
300,аналитик в практику технологического консалтинга (ритейл),3
301,младший специалист в практику it-инфраструктуры и облачных решений,0
302,intern / analyst accenture natural resources & energy consulting (assessment centre),3
303,junior java developer,0
304,sap consulting intern/analyst,0
305,"интерн/аналитик направления ""applied intelligence""",8
306,"интерн/аналитик направления ""applied intelligence""",9
307,junior it architect,0
308,интерн/аналитик в практику рынки капитала (технологический консалтинг),4
309,интерн/аналитик в практику рынки капитала (технологический консалтинг),0
310,intern/analyst in supply chain consulting (retail),3
311,intern/analyst in supply chain consulting (retail),0
312,специалист группы корпоративного налогообложения / tax consultant corporate tax,11
313,специалист группы корпоративного налогообложения / tax consultant corporate tax,4
314,jkam/ junior key account manager/ key account executive,7
315,junior ecommerce manager,6
316,business development manager / консультант по b2b продажам,2
317,вакансии в департамент project management,5
318,product leader кейс-направления,4
319,b2universities sales manager,4
320,junior finance manager,4
321,product owner,2
322,junior web designer / веб-дизайнер,14
323,шеф редактор,13
324,стажер в отдел закупок,15
325,стажер в отдел по работе с недвижимостью,5
326,стажер в юридический отдел,11
327,стажер в отдел персонала,12
328,стажер в юридический отдел,11
329,intern/junior consultant in deal strategy group,11
330,аналитик/старший аналитик по стратегии,8
331,технологический скаут/аналитик в команду инноваций,8
332,стажировка в отделе исследования рынка и потребителей,2
333,стажировка в отделе логистики,5
334,бизнес-аналитик,4
335,консультант начального уровня в группу корпоративного налогообложения,4
336,бизнес-аналитик практикант,3
337,стажер по аналитике больших данных в мегафоне,3
338,старший менеджер по развитию бизнеса,7
339,старший аналитик по слиянию и поглощению,8
340,ассистент отдела по работе с национальными ключевыми клиентами (laundry & home care),5
341,представитель по работе с ключевыми клиентами / кае (laundry & home care),5
342,представитель по работе с ключевыми клиентами / кае (laundry & home care),7
343,летняя стажировка в отделе склада готовой продукции,5
344,стажировка на производстве p&g,6
345,стажер в службу главного механика,5
346,практикант-разработчик node.js,0
347,"iintern/junior consultant, internal control automation and segregation of duties",11
348,стажер/консультант в группу по оказанию услуг в области внутреннего аудита и рисков,11
349,стажер/специалист в группу по сопровождению сделок (transaction diligence),3
350,стажер/специалист в группу по сопровождению сделок (transaction diligence),4
351,стажер в сфере бизнес-аналитики в департамент управления рисками,3
352,стажер в сфере it-бизнес-аналитики в департамент управления рисками,0
353,стажер в сфере it-бизнес-аналитики в департамент управления рисками,3
354,младший администратор,12
355,таргетолог в команду digital-маркетинга,6
356,консультант/старший консультант в сфере цифрового консалтинга,10
357,младший devops-инженер,0
358,помощник юрисконсульта в группу по оказанию юридических услуг,11
359,стажер/начинающий специалист в финансовый департамент (accounting),4
360,бизнес-аналитик,3
361,стажер в отдел data analytics,3
362,стажер-разработчик android,0
363,стажер в event-команду,5
364,младший консультант в сфере цифрового консалтинга,0
365,стажер-аналитик,3
366,стажировка в планировании поставок и спроса,15
367,стажировка в исследовании рынка,2
368,категорийный менеджер,5
369,it internship,0
370,customer demand manager,15
371,brand manager,6
372,supply network operations specialist,15
373,стажер группы финансовых расследований в департамент финансового консультирования,4
374,intern in fraud investigations group (forensic department),4
375,data analyst,0
376,financial controller trainee,4
377,выпускающий редактор / менеджер проекта,5
378,стажер отдела качества и охраны окружающей среды,2
379,devops engineer (intern),0
380,летняя стажировка в msd,16
381,стажер отдела охраны труда,2
382,контент-менеджер,6
383,контент-менеджер,10
384,"junior consultant, tax m&a, tax&legal",4
385,"junior consultant, tax m&a, tax&legal",0
386,стажер отдела финансового планирования и анализа,4
387,стажер отдела финансового планирования и анализа,3
388,"стажер отдела этики, рисков и соблюдения политик и процедур (compliance)",4
389,стажер медицинского отдела,16
390,стажер отдела маркетинга,6
391,стажер отдела маркетинга стран украина и снг,6
392,"marketing (oncology) intern (направление: меланома, braf+ рак легкого)",6
393,compliance intern,4
394,marketing (hematology) intern,6
395,marketing (oncology) intern (направление: рак молочной железы),6
396,стажер (ios / android разработчик),0
397,стажер по информационной безопасности,0
398,аналитик-практикант,3
399,практика в закупках и финансах,4
400,практика в закупках и финансах,15
401,финансовый аналитик,4
402,финансовый аналитик,3
403,специалист по повышению эффективности бизнеса,5
404,консультант по кадровому электронному документообороту,12
405,консультант начального уровня в направление охрана труда,11
406,аналитик по продажам (beauty care),3
407,аналитик по продажам (beauty care),7
408,координатор отдела бизнес операций (beauty care),5
409,лидерская программа go! graduate program,7
410,летние стажировки на производстве,2
411,стажер/младший консультант в группу по оказанию услуг в области косвенного налогообложения,4
412,стажер/младший консультант группы налогового консультирования финансового сектора,4
413,data engineer в команду sme crm,0
414,data engineer в команду sme crm,3
415,data engineer в команду sme crm,10
416,младший специалист в группу финансового мониторинга,4
417,старший аналитик отдела бизнес-развития и методологии,8
418,старший менеджер отдела бизнес-развития и методолгии,8
419,стажер в управление финансовыми рисками,4
420,стажер в группу анализа данных и моделирования,3
421,стажер в группу анализа данных и моделирования,10
422,стажер в юридическую службу (in-house legal),11
423,стажер в команду найма,12
424,"стажер-разработчик (dwh, etl, sql)",0
425,ios разработчик,0
426,стажировка в отделе персонала,12
427,стажировка в отделе категорийного менеджмента,5
428,mars leadership experience program (supply-направление),15
429,младший аналитик в группу по управлению рисками и репутацией компании,4
430,консультант начального уровня в департамент налогов и права,4
431,стажер в корпоративный центр поддержки бизнеса,5
432,customer service specialist (adhesive technologies),5
433,key account executive (laundry&home care),5
434,key account executive (laundry&home care),7
435,danone dive finance,4
436,danone dive sales,7
437,специалист по планированию и движению товарных запасов,15
438,стажер в отдел закупок,15
439,стажер в группу финансового риск-менеджмента (банкинг),4
440,мобильный разработчик android,0
441,мобильный разработчик ios,0
442,стажер/ специалист в группу консультирования по вопросам финансовой отчетности и бухгалтерского учета,4
443,аналитик,3
444,инженер-технолог,2
445,стажер в направление развития онлайна,6
446,начинающий специалист в единый центр управления сетью (инженер),0
447,начинающий специалист в единый центр управления сетью (инженер),10
448,специалист по продажам корпоративным клиентам,7
449,go! graduate program,7
450,стажер/специалист в группу трансформации бизнеса (business transformation oil&gas projects),11
451,региональный супервайзер по торговому маркетингу,6
452,junior linux engineer,0
453,sales assistant,5
454,sales assistant,7
455,стажер в команду технологического консалтинга,10
456,стажер-аналитик (vr/ar проекты),3
457,консультант начального уровня по оценке бизнеса в департамент финансового консультирования,4
458,специалист начального уровня в департамент аудиторских услуг,11
459,консультант начального уровня в группу по оказанию услуг в области коммерческой разведки (форензик),3
460,accelerated career programme (летняя стажировка в консалтинге в сфере информационных технологий),0
461,accelerated career programme (летняя стажировка в управленческом консалтинге),5
462,associate consultant,12
463,мегафон (шаблон),7
464,стажер в финансах,13
465,стажер в финансах,12
466,консультант отдела сопровождения сделок департамента по корпоративным финансам,4
467,data scientist в capital markets,0
468,python developer в capital markets,0
469,младший kyc-аналитик в compliance,0
470,младший kyc-аналитик в compliance,3
471,химик,2
472,стажер в группу корпоративного налогообложения,4
473,стажер в группу корпоративного налогообложения,0
474,sberseasons,9
475,специалист в группу оказания услуг частным клиентам (ey private),7
476,mars leadership experience program,0
477,customer service specialist (beauty care),7
478,младший аналитик отдела продаж,7
479,ассистент отдела по работе с национальными ключевыми клиентами (laundry & home care),7
480,purchasing operations specialist,7
481,marketing trainee (laundry & home care),6
482,стажер cisco,0
483,стажер в группу консультирования по вопросам косвенного налогообложения (ндс),4
484,стажер в группу консультирования по вопросам косвенного налогообложения (ндс),0
485,стажер в направление digital маркетинг,6
486,младший консультант в сфере цифрового консалтинга,3
487,стажер-аналитик,3
488,стажер-консультант по внедрению бизнес-приложений,0
489,стажер в группу цифровых технологий и трансформации бизнеса (tax technology & transformation),4
490,стажер в группу цифровых технологий и трансформации бизнеса (tax technology & transformation),0
491,инженер-электрик,2
492,консультант в департамент бизнес-консультирования (general pool),11
493,инженер-микробиолог,2
494,стажер в департамент управления рисками,4
495,стажер в департамент управления рисками,11
496,консультант начального уровня в международную группу по оказанию услуг финансовым институтам,4
497,консультант начального уровня в международную группу по оказанию услуг финансовым институтам,11
498,специалист начального уровня в департамент аудиторских услуг,4
499,специалист начального уровня в департамент аудиторских услуг,11
500,стажер/младший консультант в группу корпоративного налогообложения,4
501,стажер/младший консультант в группу корпоративного налогообложения,0
502,senior hr manager,12
503,бизнес аналитик,3
504,бизнес-аналитик в группу управления операционными рисками в департамент управления рисками,4
505,бизнес-аналитик в группу управления операционными рисками в департамент управления рисками,0
506,консультант отдела сопровождения сделок департамента по корпоративным финансам,4
507,ассистент группы,4
508,ассистент отдела,4
509,менеджер проекта,3
510,менеджер проекта,6
511,менеджер проекта,10
512,инженер проектов,2
513,специалист по синдицированному кредитованию и структурированию,4
514,java-разработчик в ras accounting & reporting,0
515,"финансовый аналитик в отдел финансового анализа, проектного моделирования и розничной аналитики",3
516,"финансовый аналитик в отдел финансового анализа, проектного моделирования и розничной аналитики",4
517,консультант начального уровня в риск-менеджмент в департамент управления рисками,4
518,консультант/старший консультант в отдел общего аудита,11
519,consultant in strategy & operations consulting,11
520,младший юрист в группу по оказанию юридических услуг,8
521,экономист,4
522,бухгалтер в учет транспортных услуг,4
523,бухгалтер-экономист по вэд,4
524,стажер в группу it-аудита,11
525,bi-аналитик в cost management,3
526,data scientist в команду crm (customer relationship management),0
527,data engineering internship,0
528,it internship in gillette,0
529,sales account manager,7
530,supply chain management internship,7
531,test vacancy — стажер в группу оценки недвижимости,3
532,"стажер в группу улучшения бизнес-технологий и it, направление sap (sales cloud)",0
533,"стажер в группу улучшения бизнес-технологий и it, направление sap (cpq)",0
534,"стажер в группу улучшения бизнес-технологий и it, направление sap",4
535,стажер в группу оказания услуг в области бизнес-рисков,11
536,стажер в группу оказания услуг в области бизнес-рисков,3
537,стажер в группу оказания услуг в области бизнес-рисков,11
538,стажер в группу повышения эффективности бизнеса в области финансов,4
539,стажер/специалист в группу оказания услуг организациям финансового сектора,4
540,стажер/специалист в группу повышения эффективности бизнеса в supply chain & operations,11
541,оплачиваемая стажировка в дом.рф,4
542,test стажер отдела трансфертного ценообразования в департамент налогов и права,11
543,test vacancy — стажер в группу оценки недвижимости2222,12
544,consultant/intern in human resourcing consulting group,12
545,аналитик отдела продаж,7
546,аналитик отдела продаж,3
547,стажер в налоговую практику,4
548,стажер отдела трансфертного ценообразования в департамент налогов и права,4
549,младший специалист исследовательского центра в департамент внутренней поддержки,2
550,старший специалист группы анализа внутренней достаточности капитала,3
551,старший специалист группы анализа внутренней достаточности капитала,4
552,junior alm analyst,3
553,аналитик по валидации моделей рыночного риска,4
554,аналитик по валидации моделей рыночного риска,3
555,младший специалист по управлению операционными рисками,4
556,младший специалист по управлению операционными рисками,3
557,специалист по риск-регулированию кредитного риска,4
558,специалист по риск-регулированию кредитного риска,3
559,стажер в группу по оказанию услуг таможенного регулирования и международной торговли,4
560,специалист в группу обработки и анализа клиентских данных (cdha),3
561,стажер/специалист в группу по сопровождению сделок (финансовый сектор),4
562,стажер в группу трансформации бизнеса,8
563,стажер в группу услуг в области чистых технологий и устойчивого развития,3
564,стажер в группу услуг в области чистых технологий и устойчивого развития,2
565,стажер в группу услуг в области чистых технологий и устойчивого развития,4
566,специалист по производственному планированию,2
567,стажер/младший разработчик в группу technology (consulting),10
568,"junior developer, real estate advisory, data & solutions",10
569,консультант в группу по оказанию услуг в области налогового и бухгалтерского сопровождения,4
570,стажер в группу операционных рисков и устойчивого развития,6
571,стажер в группу операционных рисков и устойчивого развития,3
572,стажер/младший консультант группы управления финансами и казначейством (consulting),4
573,академия пивоварения,2
574,first line manager packaging,2
575,first line manager brewing,2
576,инженер cisco,0
577,test 29 цц!!!,14
578,test 29 !!!,14
579,intership in sales,7
580,marketing internship,6
581,стажер/специалист в группу по управлению it-рисками,3
582,стажер/специалист в группу по управлению it-рисками,0
583,стажер/специалист в группу по управлению it-рисками,11
584,стажер в практику стратегии и сделок ey-parthenon,3
585,стажер в практику стратегии и сделок ey-parthenon,4
586,стажер в практику стратегии и сделок ey-parthenon,6
587,стажер в практику стратегии и сделок ey-parthenon,7
